GeneID	B14.5.new.bam	B15.5.new.bam	B17.5.new.bam	B20.new.bam	B34.new.bam	C14.5.new.bam	C15.5.new.bam	C17.5.new.bam	C20.new.bam	C34.new.bam
MSTRG.1	0	0	0	1	0	0	0	0	1	0
MSTRG.2	12	10	28	16	15	11	13	18	18	6
MSTRG.8	2	3	22	13	39	0	4	3	5	6
MSTRG.9	20	13	44	26	24	23	24	37	20	19
MSTRG.10	14	20	25	23	17	13	15	7	16	5
MSTRG.11	13	17	11	14	9	13	12	9	14	17
MSTRG.12	245	237	212	194	172	220	198	216	221	197
MSTRG.13	392	314	262	302	263	286	356	400	296	291
MSTRG.14	476	406	508	562	506	492	520	309	722	444
MSTRG.15	2	4	5	8	2	4	7	10	7	3
MSTRG.16	11	24	13	33	38	8	11	67	55	12
MSTRG.17	2783	2246	2191	1911	1417	2375	1890	1363	1707	1749
MSTRG.18	0	0	0	2	1	0	0	0	0	0
MSTRG.22	487	435	430	264	179	291	308	188	287	127
MSTRG.23	381	419	510	432	601	299	365	457	380	269
MSTRG.24	1	0	1	1	0	0	0	1	1	0
MSTRG.25	7	5	8	8	0	12	8	9	3	0
MSTRG.26	1	0	0	0	0	0	0	2	0	0
MSTRG.28	8	3	7	5	3	16	7	3	4	1
MSTRG.29	13	25	8	16	4	3	17	10	6	15
MSTRG.30	2089	1977	1713	1705	973	2580	1857	1008	1392	1237
MSTRG.31	1	1	0	2	0	3	0	0	0	3
MSTRG.32	209	199	282	243	163	197	172	248	199	79
MSTRG.33	1147	1244	1329	1538	1566	1218	1295	1025	1268	2007
MSTRG.34	0	0	1	4	4	0	0	0	0	0
MSTRG.35	166	174	205	187	206	160	211	172	213	243
MSTRG.36	444	476	423	486	749	438	466	675	623	792
MSTRG.37	16	9	14	23	41	10	20	15	30	64
MSTRG.38	55	92	91	87	132	69	85	74	138	94
MSTRG.39	3	6	11	17	36	1	1	21	19	9
MSTRG.40	13	15	14	11	23	6	16	8	23	32
MSTRG.41	3	7	4	7	7	5	2	10	4	8
MSTRG.42	541	665	624	537	167	482	462	576	411	266
MSTRG.44	1152	1096	943	1063	1211	1023	1079	1360	1246	1998
MSTRG.45	1194	2201	2010	2337	3128	1422	2302	3787	2645	3325
MSTRG.46	6	9	3	9	3	17	14	1	5	10
MSTRG.47	72	112	103	93	56	114	118	66	94	104
MSTRG.48	32	41	17	30	27	95	49	15	35	37
MSTRG.49	0	0	0	0	0	1	0	2	0	27
MSTRG.50	165	209	178	176	145	136	236	268	179	268
MSTRG.51	631	1078	1329	1919	2887	1035	1627	2763	2823	4301
MSTRG.52	321	323	337	283	373	377	346	472	332	617
MSTRG.53	347	307	224	220	272	167	256	255	291	258
MSTRG.54	0	0	1	1	0	1	1	0	1	5
MSTRG.55	4	2	2	1	0	1	5	3	0	2
MSTRG.56	1162	1131	1136	1094	915	962	1028	1115	1006	998
MSTRG.57	600	685	726	646	559	638	749	781	667	727
MSTRG.58	65	47	76	88	140	66	104	118	148	495
MSTRG.59	17	10	8	16	7	8	10	9	9	1
MSTRG.60	2555	2330	2121	2062	2276	2337	2228	2883	2177	1778
MSTRG.61	1	2	0	5	3	1	2	0	1	1
MSTRG.62	289	238	198	187	115	198	229	258	240	205
MSTRG.63	99	99	117	103	101	74	120	105	153	108
MSTRG.65	651	1067	1280	1421	1600	1415	1814	2526	2587	1926
MSTRG.68	1421	1661	1782	2028	2193	1519	1828	2505	2442	3129
MSTRG.69	0	0	0	0	0	0	1	0	0	0
MSTRG.70	2394	2274	2356	2038	1783	2225	1930	1617	1994	1900
MSTRG.71	36	21	24	18	13	18	26	14	14	29
MSTRG.72	5	2	2	1	3	3	4	0	2	3
MSTRG.73	21	29	47	48	308	25	80	72	138	833
MSTRG.75	366	391	550	640	740	329	471	604	854	1336
MSTRG.76	935	1176	1063	1149	745	713	1088	1599	1208	292
MSTRG.77	247	237	220	196	142	178	235	295	210	179
MSTRG.78	53	53	65	89	24	42	30	71	61	31
MSTRG.79	2	4	1	1	3	5	2	1	0	0
MSTRG.81	4279	4866	5767	7440	17890	4889	4431	4572	4981	8629
MSTRG.82	2915	2764	2157	1757	972	2399	2300	1751	1601	1425
MSTRG.83	1825	1643	1179	877	334	1968	1310	1017	840	674
MSTRG.84	262	231	283	235	123	299	237	97	259	327
MSTRG.85	13	20	13	9	0	17	15	5	7	3
MSTRG.86	274	242	222	210	128	347	227	137	167	194
MSTRG.88	0	0	0	0	1	0	0	0	1	0
MSTRG.90	200	167	181	170	152	194	196	226	180	207
MSTRG.91	241	176	243	232	157	247	230	201	232	181
MSTRG.92	10	7	20	15	10	14	14	8	7	9
MSTRG.93	9	10	16	27	43	12	12	19	30	4
MSTRG.94	280	358	420	453	699	456	481	577	617	1283
MSTRG.95	7	7	11	24	18	30	35	21	48	11
MSTRG.96	256	298	290	265	374	245	266	272	303	316
MSTRG.97	665	674	761	728	974	684	766	725	844	620
MSTRG.99	1041	878	709	707	715	1038	945	1024	966	637
MSTRG.101	202	258	335	358	317	264	279	379	271	450
MSTRG.102	613	558	575	597	397	629	553	806	561	391
MSTRG.103	110	139	275	330	408	176	250	334	359	213
MSTRG.104	30	33	77	99	44	48	65	67	91	21
MSTRG.105	9	5	5	9	4	6	8	9	11	8
MSTRG.106	244	266	337	370	287	164	245	423	462	205
MSTRG.107	3	1	1	3	0	3	2	4	1	4
MSTRG.108	716	689	663	676	1227	758	767	1077	1044	993
MSTRG.109	70	63	76	88	597	72	72	46	42	42
MSTRG.110	241	259	466	270	116	248	506	173	258	42
MSTRG.111	68	166	368	587	2810	104	301	1065	1193	1404
MSTRG.112	6	7	0	3	1	6	7	4	2	2
MSTRG.113	197	175	149	145	147	116	159	144	208	245
MSTRG.114	1745	2492	2642	2732	2626	1395	2583	4668	2859	409
MSTRG.115	1557	1559	1416	1508	1546	1116	1326	1497	1457	1123
MSTRG.116	1068	1295	1412	1668	2688	1511	1594	2256	2021	3003
MSTRG.117	15	17	30	22	12	18	22	27	24	9
MSTRG.118	1168	1492	1932	2112	1622	1631	1957	2448	2684	665
MSTRG.119	0	0	0	1	0	0	0	0	0	0
MSTRG.121	5644	4846	4326	3990	3287	5524	4336	4568	3658	3472
MSTRG.122	1	2	2	0	5	1	6	1	1	3
MSTRG.123	257	301	340	445	584	220	354	480	464	253
MSTRG.124	6	5	1	1	3	2	2	1	1	0
MSTRG.125	0	3	13	13	36	5	10	19	21	29
MSTRG.126	929	1009	792	844	413	586	764	1012	764	365
MSTRG.127	488	376	230	229	258	432	336	348	254	301
MSTRG.128	1284	1212	1185	1020	712	1517	1103	1355	1014	945
MSTRG.129	13	22	19	24	22	30	23	19	28	14
MSTRG.130	0	2	1	1	4	0	1	3	1	2
MSTRG.131	0	0	1	0	0	0	0	0	0	0
MSTRG.132	1616	1826	1769	1678	1138	1228	1573	2696	1623	958
MSTRG.133	386	433	410	398	479	293	477	527	460	387
MSTRG.134	694	522	407	478	316	411	436	559	507	331
MSTRG.135	0	0	2	0	2	0	0	0	0	0
MSTRG.136	319	364	341	477	604	304	400	565	476	558
MSTRG.137	684	736	563	605	319	551	746	806	719	463
MSTRG.138	21	17	8	6	10	15	18	27	11	9
MSTRG.139	221	235	232	223	131	204	303	251	280	158
MSTRG.140	451	450	354	334	245	387	388	423	332	611
MSTRG.141	2	3	0	1	0	1	1	0	1	0
MSTRG.142	16814	15531	16165	15994	14032	13756	15288	19073	14023	7893
MSTRG.143	679	936	1008	943	998	934	1114	1554	1237	1396
MSTRG.144	29	29	38	29	29	33	36	19	48	39
MSTRG.145	1	0	0	1	2	0	0	0	0	0
MSTRG.146	41	33	43	48	36	79	36	55	54	152
MSTRG.147	0	2	0	1	0	1	0	2	1	0
MSTRG.149	34	58	42	71	64	36	46	45	69	33
MSTRG.150	236	236	183	123	160	116	144	203	156	218
MSTRG.151	1027	922	844	973	875	1044	984	1247	1006	884
MSTRG.152	447	557	548	446	335	337	453	540	441	353
MSTRG.153	2038	2355	2080	2044	1334	1563	2583	2250	2643	990
MSTRG.155	318	292	332	244	282	211	341	243	280	326
MSTRG.156	1	4	0	2	3	0	0	0	5	4
MSTRG.157	440	503	488	508	433	473	440	749	637	226
MSTRG.158	0	1	0	0	0	0	0	0	0	1
MSTRG.159	1384	1584	1260	1200	618	853	1332	1393	1137	357
MSTRG.160	799	681	766	539	447	477	702	537	909	2054
MSTRG.161	952	1014	1091	1071	1095	934	1157	1621	1248	1117
MSTRG.162	86	80	65	65	32	138	72	84	55	27
MSTRG.163	6363	5735	5550	13608	14066	8500	4920	4857	8202	11391
MSTRG.164	4	5	2	30	38	2	2	1	1	3
MSTRG.165	106	121	147	222	380	164	171	78	297	3133
MSTRG.166	1	3	3	8	3	3	1	0	2	4
MSTRG.168	246	237	138	127	163	141	190	147	186	382
MSTRG.169	22	28	29	29	70	22	26	18	32	39
MSTRG.170	161	141	99	99	45	162	112	170	105	45
MSTRG.171	1614	1560	1445	939	825	1695	1396	1338	1137	1207
MSTRG.172	27	14	20	27	46	16	16	27	38	48
MSTRG.173	57	180	206	121	161	120	296	532	264	391
MSTRG.174	653	473	322	198	128	275	327	237	227	134
MSTRG.175	55	85	128	126	297	96	161	273	195	297
MSTRG.176	1	0	1	7	5	2	1	1	3	14
MSTRG.177	106	80	89	51	57	90	80	78	72	89
MSTRG.178	621	741	796	762	773	536	831	871	874	657
MSTRG.179	693	539	466	453	602	534	498	567	456	550
MSTRG.180	0	0	0	1	1	0	0	0	0	0
MSTRG.181	2924	2685	1896	1741	1227	1795	2379	2605	2010	1122
MSTRG.182	1	0	0	2	4	3	2	2	3	1
MSTRG.183	123	153	91	134	190	75	118	155	146	104
MSTRG.184	1418	1611	1620	1669	1127	1401	1837	2263	1773	1124
MSTRG.185	2	0	0	2	0	0	0	1	1	1
MSTRG.186	225	130	45	33	4	69	50	12	38	2
MSTRG.187	17	17	6	3	1	5	5	0	4	0
MSTRG.188	50	33	24	13	1	13	9	7	18	3
MSTRG.189	154	161	138	148	149	98	141	212	157	88
MSTRG.190	332	357	380	411	394	396	411	615	506	490
MSTRG.191	445	412	396	408	387	452	576	798	611	595
MSTRG.192	1	0	2	0	4	0	3	1	0	1
MSTRG.194	26	25	23	39	38	23	27	32	38	15
MSTRG.195	0	0	0	1	0	0	0	0	1	0
MSTRG.196	1130	1588	1867	2138	2699	1147	1741	3025	2686	2210
MSTRG.197	607	722	821	723	809	622	936	920	1051	818
MSTRG.198	0	0	0	0	0	0	2	0	0	0
MSTRG.199	1098	1252	1354	1090	511	1201	1375	1597	1292	902
MSTRG.201	203	230	208	180	105	213	265	261	303	820
MSTRG.202	1313	1376	1283	1057	924	1069	1239	1311	1146	699
MSTRG.203	716	896	979	923	1002	871	1190	1345	1400	1957
MSTRG.204	10	14	4	14	15	5	8	8	9	20
MSTRG.205	4947	4668	4218	4009	2748	4180	3903	3248	3575	3049
MSTRG.206	31	32	80	51	307	37	86	61	141	939
MSTRG.207	150	291	690	1253	836	219	576	2060	2026	558
MSTRG.208	3	0	1	3	2	3	2	0	1	3
MSTRG.209	2900	4524	5644	8001	7925	4221	6401	11006	9882	4330
MSTRG.211	28	21	14	10	3	4	5	0	9	2
MSTRG.212	81	77	64	59	20	27	39	15	29	27
MSTRG.213	0	0	0	5	5	0	0	2	3	3
MSTRG.215	1790	1201	1349	1303	584	1330	745	1112	816	448
MSTRG.216	734	667	445	557	288	588	394	319	480	170
MSTRG.217	18	23	12	12	9	17	27	23	15	22
MSTRG.218	75	143	203	245	412	100	146	322	341	319
MSTRG.219	10	20	15	19	48	9	15	17	39	20
MSTRG.220	687	816	713	835	1535	708	853	1511	1299	1998
MSTRG.221	444	429	329	259	197	282	348	423	287	211
MSTRG.222	499	494	404	396	579	412	420	397	393	742
MSTRG.223	10	17	41	57	330	14	34	79	107	98
MSTRG.224	426	550	544	620	873	404	618	853	724	801
MSTRG.225	293	317	291	284	264	243	288	417	306	263
MSTRG.226	38	30	13	19	12	35	25	19	17	27
MSTRG.227	424	438	473	371	295	400	440	348	529	641
MSTRG.228	0	0	0	0	0	0	0	0	1	1
MSTRG.229	2600	2465	1434	1436	273	1503	1711	1946	1266	183
MSTRG.230	349	390	446	528	893	384	440	894	651	890
MSTRG.231	452	549	659	600	654	363	640	887	735	683
MSTRG.232	67	64	39	51	31	63	81	93	75	153
MSTRG.233	135	133	104	107	99	96	137	163	165	149
MSTRG.234	67	54	81	41	67	54	73	44	70	39
MSTRG.235	3453	2607	2645	1961	2373	2755	2163	2500	2065	2435
MSTRG.236	26	30	32	41	39	17	31	53	33	105
MSTRG.237	67	58	71	55	61	31	51	84	41	57
MSTRG.238	389	371	340	378	467	184	261	187	292	222
MSTRG.239	1458	1391	1409	1185	1952	1196	1333	1878	1285	1332
MSTRG.240	1071	1316	1104	1218	3059	605	1740	2437	2191	2800
MSTRG.241	1022	1092	910	918	648	1016	1047	1003	1140	659
MSTRG.242	2839	2210	1200	598	193	1354	1269	858	634	73
MSTRG.243	1155	1263	1448	1374	1606	1033	1417	1351	1491	919
MSTRG.245	732	722	636	524	407	502	662	678	502	241
MSTRG.247	70	54	50	75	44	89	67	41	57	34
MSTRG.249	7	12	7	12	11	13	14	13	7	1
MSTRG.250	2	4	1	2	1	3	1	0	2	1
MSTRG.251	705	730	614	774	563	753	770	851	920	617
MSTRG.252	5286	4952	3808	4006	832	3691	3177	2024	2007	347
MSTRG.253	6479	6829	7533	8759	17383	8379	8080	10236	11447	11009
MSTRG.254	7	8	2	4	3	3	6	5	5	3
MSTRG.255	820	635	654	690	577	647	587	316	698	981
MSTRG.256	57	44	43	44	129	30	42	18	92	661
MSTRG.257	22	13	7	19	6	19	20	11	17	4
MSTRG.258	43	41	52	37	70	39	43	48	43	88
MSTRG.259	44	44	15	25	52	32	38	43	43	127
MSTRG.260	4	2	1	1	0	5	2	2	0	0
MSTRG.263	76	38	68	46	19	100	58	29	57	34
MSTRG.264	2	0	0	0	0	0	0	1	0	0
MSTRG.265	0	0	0	0	0	0	0	1	0	0
MSTRG.266	64	54	66	43	26	97	58	37	48	44
MSTRG.267	1	0	0	0	0	0	0	0	0	0
MSTRG.268	15	14	4	17	15	7	16	14	26	16
MSTRG.269	15	3	3	1	1	6	1	0	0	0
MSTRG.270	22	7	18	17	10	23	6	18	15	15
MSTRG.271	1	2	0	0	0	4	1	0	0	2
MSTRG.272	5	6	1	4	6	11	3	0	3	0
MSTRG.273	6	5	4	8	3	12	8	8	3	7
MSTRG.274	5	3	3	4	0	7	5	2	0	0
MSTRG.275	138	78	76	88	37	264	108	65	57	22
MSTRG.276	2	9	8	11	6	18	38	3	14	13
MSTRG.277	71	48	46	23	39	41	42	43	29	46
MSTRG.278	129	234	565	496	581	150	409	301	603	417
MSTRG.279	141	223	378	360	72	201	482	2	378	36
MSTRG.280	8	3	10	24	25	5	5	3	7	2
MSTRG.281	80	150	394	758	2492	10	31	14	31	35
MSTRG.282	0	0	0	0	1	0	0	0	0	0
MSTRG.283	1363	1441	1602	1467	1753	1202	1397	1685	1679	1367
MSTRG.284	800	587	419	435	152	636	439	341	389	328
MSTRG.285	486	410	328	355	232	367	381	507	380	312
MSTRG.286	18	9	9	7	1	14	15	5	3	0
MSTRG.287	1299	1247	1253	1178	883	1255	1237	1181	1121	1284
MSTRG.288	42	26	31	26	7	37	27	28	46	42
MSTRG.289	4276	4202	3766	2826	1900	3716	3560	2872	2551	2424
MSTRG.290	332	351	253	282	206	294	344	281	337	183
MSTRG.291	4	5	4	5	2	3	5	4	4	1
MSTRG.292	0	0	0	0	0	0	0	2	0	0
MSTRG.293	608	465	383	438	510	490	451	556	455	610
MSTRG.294	64	71	55	59	35	55	72	66	76	36
MSTRG.295	1040	870	809	702	456	864	704	527	661	605
MSTRG.296	5325	5098	5300	5503	4516	6496	4752	4976	5247	5202
MSTRG.297	1249	1642	1958	2496	2674	1572	2421	4587	3217	1374
MSTRG.298	1551	1401	1606	1365	1035	1242	1126	1530	1034	832
MSTRG.299	154	138	117	121	155	186	145	176	134	174
MSTRG.300	4058	3484	3025	2789	2171	3473	3409	2790	3089	2633
MSTRG.301	12	14	9	11	1	8	5	9	7	5
MSTRG.302	1	0	0	0	0	0	2	0	0	0
MSTRG.303	0	0	0	0	0	1	0	0	0	0
MSTRG.304	885	934	892	918	1330	851	981	1581	1109	1296
MSTRG.305	11	10	15	20	32	16	22	20	29	108
MSTRG.306	3168	2942	2494	1911	985	2475	2162	1845	1703	1428
MSTRG.307	19	14	20	33	30	14	16	25	31	6
MSTRG.308	502	449	357	338	251	430	353	393	303	280
MSTRG.309	7064	6040	4923	4560	2085	6238	5484	6448	4236	2353
MSTRG.310	723	586	814	581	374	731	837	140	504	596
MSTRG.311	534	498	667	846	2326	404	443	924	1248	3116
MSTRG.312	0	0	0	1	5	0	0	0	2	11
MSTRG.313	2144	1770	1301	1257	531	1507	1472	1964	1085	464
MSTRG.315	1321	797	579	430	221	624	444	329	482	288
MSTRG.316	4	2	0	1	0	6	4	0	2	2
MSTRG.317	21	23	24	27	12	35	20	21	29	23
MSTRG.318	50	39	36	53	16	56	64	53	58	51
MSTRG.319	16	18	22	18	36	19	18	16	22	65
MSTRG.320	0	2	1	0	0	1	0	2	0	3
MSTRG.321	123	107	180	158	56	118	100	87	114	62
MSTRG.322	77	34	32	34	25	47	28	22	20	24
MSTRG.323	1260	867	656	410	261	678	477	438	462	239
MSTRG.324	0	0	0	1	0	0	0	0	0	0
MSTRG.325	10	4	4	3	2	10	7	4	9	3
MSTRG.326	0	1	1	0	0	0	0	1	0	1
MSTRG.327	1	1	0	2	0	3	1	3	0	0
MSTRG.330	1	0	0	0	0	1	0	1	0	1
MSTRG.332	3923	4728	4500	5495	9467	3486	4540	5536	4461	11030
MSTRG.333	1	1	1	4	2	0	0	2	2	0
MSTRG.334	0	0	11	10	14	1	1	16	21	8
MSTRG.335	242	302	307	276	184	250	316	246	339	125
MSTRG.336	245	449	576	665	627	375	601	1139	1069	348
MSTRG.337	3578	3733	4942	4905	4691	3255	3669	6413	5179	2681
MSTRG.338	2900	2740	2967	2863	3159	2970	2674	3395	3136	3242
MSTRG.339	11	15	11	7	5	7	7	4	9	6
MSTRG.340	514	337	142	141	87	198	160	132	149	184
MSTRG.341	539	562	508	572	346	443	417	515	507	274
MSTRG.342	37	34	54	41	722	50	63	68	95	1352
MSTRG.343	368	574	853	1060	2118	459	768	1057	1321	1108
MSTRG.344	0	0	0	0	1	0	1	0	0	2
MSTRG.345	1954	3219	3960	5285	6450	3612	4807	5087	6132	5973
MSTRG.346	9	11	20	32	148	10	24	28	39	8
MSTRG.347	26	25	30	58	26	18	28	84	76	23
MSTRG.348	501	473	416	408	509	527	446	422	440	573
MSTRG.350	2763	2621	2486	2106	1251	2960	2426	1975	1896	1982
MSTRG.351	139	140	87	100	45	104	126	122	131	92
MSTRG.352	244	196	169	178	123	187	206	209	208	108
MSTRG.354	168	208	168	267	171	155	191	292	278	133
MSTRG.355	0	0	0	0	1	0	0	0	0	0
MSTRG.356	363	315	255	281	191	330	324	333	317	132
MSTRG.357	7321	6128	4768	4316	3525	6830	5377	5011	4744	4041
MSTRG.358	12	30	52	44	17	22	68	85	83	5
MSTRG.360	436	481	418	441	494	318	352	392	331	321
MSTRG.361	2	2	2	2	2	1	3	4	10	4
MSTRG.362	13	23	32	28	27	14	24	18	20	14
MSTRG.364	2830	3578	3583	3536	3666	2984	4126	6702	4696	4081
MSTRG.365	206	253	270	272	338	208	293	339	319	579
MSTRG.366	3050	2867	2480	2564	2356	2378	2414	2934	2636	2483
MSTRG.367	2	1	3	9	6	0	3	14	15	0
MSTRG.368	3	3	1	4	4	3	2	1	1	2
MSTRG.369	192	160	136	183	168	111	137	154	139	100
MSTRG.370	1	0	0	1	1	0	1	2	2	7
MSTRG.371	9	12	17	44	117	5	13	2	32	97
MSTRG.373	912	654	825	613	348	644	471	273	363	202
MSTRG.374	1	0	0	1	0	0	0	1	1	0
MSTRG.376	25	17	49	9	15	10	38	17	10	5
MSTRG.377	0	0	1	0	1	0	0	0	0	1
MSTRG.379	1	0	1	3	0	0	2	0	1	0
MSTRG.380	5	13	28	8	3	13	23	0	16	7
MSTRG.381	3	4	14	9	3	8	9	1	3	0
MSTRG.384	0	0	0	1	0	0	0	0	0	0
MSTRG.385	26	20	12	17	9	24	12	11	17	28
MSTRG.386	27	19	32	15	27	29	21	11	13	20
MSTRG.387	216	188	90	185	244	224	179	160	339	561
MSTRG.388	15	24	40	13	8	16	32	3	10	6
MSTRG.389	0	0	1	0	0	0	0	0	1	0
MSTRG.391	12	11	19	13	22	30	26	6	14	8
MSTRG.392	13	14	20	12	10	10	27	3	10	8
MSTRG.393	251	215	206	221	278	221	228	292	231	235
MSTRG.394	196	300	382	701	457	649	658	769	961	970
MSTRG.395	2	3	4	10	10	10	13	9	8	10
MSTRG.397	9	2	10	9	7	5	7	12	5	11
MSTRG.398	910	913	895	674	395	998	867	633	721	526
MSTRG.400	1116	1072	1094	1064	1110	1150	1004	770	1024	1015
MSTRG.401	6	3	14	7	9	4	6	2	3	22
MSTRG.402	23	19	17	17	21	18	17	19	19	51
MSTRG.403	6	4	2	2	4	7	4	4	6	19
MSTRG.404	48	47	14	30	27	113	61	5	37	75
